comments_disabled; id; edge_media_to_caption; shortcode; edge_media_to_comment; taken_at_timestamp; dimension; edge_liked_by; owner; is_video
False; 1324529198278943502; Bố từng bảo con "con cứ làm gì học gì con thấy thích, 20 năm qua con đã phải thiệt thòi nhiều rồi, nên bây giờ bố không bắt con theo ý bố mẹ nữa..." Trước khi con bay bố cũng gọi con ra dặn dò riêng, ôm con và nói "bố biết con gái bố bây giờ trưởng thành rồi có thể làm được nhiều việc, nhưng con còn rất nhiều thiếu sót trong tính cách bản thân, con cần phải học hỏi trau dồi, tự rèn luyện bản thân mình. Chỉ khi con thay đổi được con mới có thể thành công"  Bây giờ bố vẫn bảo con "con cứ làm gì học gì con thích" nhưng bố còn nói thêm "không cần hỏi ý kiến bố mẹ, bố mẹ luôn tin con"  Con đã trải qua 1 năm xa bố mẹ. Nhiều lúc con chỉ muốn chạy về nhà mà ôm bố mẹ, mà khóc thật to thôi. Con sẽ cố gắng nhiều thật nhiều. Con yêu bố mẹ.  Potsdam 25.08.2016  #potsdam#deutschland#summer#winter#parkbabelsberg#griebnitzsee#homesick; BJhrEnGDKMO; 5; 1472116206; (1080, 1080); 30; 1398801628; False
False; 1324157989665447304; Floß fahren #Wannsee #floß #floßfahrt #familytime #griebnitzsee #teltowkanal #söhnelwerft #dersommeristzurück #summersback #berlin; BJgWq0IgR2I; 0; 1472071954; (640, 640); 18; 305743654; True
False; 1323948094279071607; #griebnitzsee #sommer2016 #estate2016 #summer2016 #sprachen #sprachenlernen #entspannung #lieblingsplatz; BJfm8b0jzd3; 0; 1472046933; (1080, 1080); 7; 982497668; False
False; 1322681789138937133; Summer in a full swing with us on lake Griebnitzsee. #standuppaddling #paddling #sup #potsdam #griebnitzsee #bike #potsdam #berlin; BJbHBRQgSUt; 1; 1471895978; (1080, 1080); 107; 2306824280; False
False; 1322342431341726659; Late breakfast  #potsdam #griebnitzsee #sunnyday  #backtonormal #dailylife #germany  #假期結束回到家冰箱空空:grinning_face_with_sweat: #gutenappetit; BJZ529rjMvD; 3; 1471855523; (1349, 1080); 24; 2060216412; False
False; 1322325180160541788; Erfrischt in die neue Woche...#igersgermanyofficial #backstein #berlin #weloveberlin#ig_captures#griebnitzsee #potsdam #instadaily#rustlord_archdesign #unlimitedcities #artofvisuals #arkiromantix #typomeetsbricks #bestgermanypics#@grecommend #loves_united_germany#germanvision#jj_doorsandwindows #ig_deutschland#streetphotography#tv_typography #tv_hiddenbeauty #jj_editors#windowsoftheworld #jj_texture#whenpeoplematchplaces#communityfirst#wallfilth#neverstopexploring#wooden_hue_cafes #staedelxtrinkhalle; BJZ177RBgRc; 18; 1471853467; (1350, 1080); 165; 374998395; False
False; 1321032664682062607; Familienausflug :beaming_face_with_smiling_eyes:☉:red_heart: #soehnelwerft #paddeln #kajaking #kajak #canou #adventurous #water #fun #love #family #fancy #geburtstag #birthdaytrip #nassehose #stoelpchensee #griebnitzsee #brandenburg #latergram #dowhatyoulike #dowhatyoulove; BJVQDWbD-MP; 5; 1471699387; (1080, 1080); 40; 479539683; False
False; 1320785076208651113; #griebnitzsee  #berlin #Germany #sunshine #nature #naturephotography #outdoors #Photograph #travel #tourist #travelgram #beautiful #earth #europe #exploreeverything #fantastic #outdoors #iphone #iphoneonly #iphoneography #summer #wannsee #igers #kayaking #active #sport #flowers #wildflowers; BJUXwdsDctp; 4; 1471669872; (1080, 1080); 72; 501446188; False
False; 1318810032703538214; #break #lunch #chill #griebnitzsee #withacoffee #efa #coffee #water; BJNWrzFhAQm; 0; 1471434428; (607, 1080); 13; 2009903633; False
False; 1318165968811703037; :smiling_face_with_heart-eyes: #flowers #flowersatwork #blümchen #potsdam #babelsberg #griebnitzsee #soistarbeitenschön #niceone; BJLEPb2B7r9; 0; 1471357650; (1080, 1080); 7; 236487476; False
False; 1317944376458275051; #efa #coffee #sunrise #morning #griebnitzsee #toearly #coffeegram; BJKR214hOjr; 0; 1471331234; (809, 1080); 7; 2009903633; False
False; 1317462715186628655; Kurze 46 km mit Rad gefahren :flexed_biceps_medium-light_skin_tone: #Radtour #bergauf #bergab #46km #38kmreichtenunsnicht #fahrland #neuergarten #glienickerbrücke #steinstücken #wannsee #kohlhasenbrück #griebnitzsee #babelsbergerpark #großglienicke #allesabgeklappert #eiskaffee #girls #verrueckt #fahrradfahren #letzterurlaurlaubstag #nur4tagearbeiten #dannwiederurlaub #läuft; BJIkVv3hUgv; 2; 1471273816; (1080, 1080); 102; 380189653; False
False; 1316608616145271812; #backsteinexpressionismus #amsterdamseschool #interwarmodernism #bahnhof #griebnitzsee; BJFiI-JjrwE; 0; 1471171999; (1080, 1080); 30; 1642380050; False
False; 1316599159348667304; #vintage #train #sbahn #museum #griebnitzsee #berlin; BJFf_W0jiOo; 0; 1471170872; (1080, 1080); 16; 1642380050; False
False; 1316595728953186008; #sbahn #museum #griebnitzsee #berlin; BJFfNcBDRbY; 0; 1471170463; (1080, 1080); 5; 1642380050; False
